index,actual,consensus,country,day,forecast,hour,indicator,label,period,previous,previous_revised,source
8676,"{""value"": 0.4, ""uom"": ""%""}","{""value"": 0.5, ""uom"": ""%""}",UK,2018-03-20,null,09:30,Consumer Price Index (MoM) (Feb),0,,"{""value"": -0.5, ""uom"": ""%""}",null,fxs
8677,"{""value"": 2.7, ""uom"": ""%""}","{""value"": 2.8, ""uom"": ""%""}",UK,2018-03-20,null,09:30,Consumer Price Index (YoY) (Feb),0,,"{""value"": 3.0, ""uom"": ""%""}",null,fxs
8678,"{""value"": 2.4, ""uom"": ""%""}","{""value"": 2.4, ""uom"": ""%""}",UK,2018-03-20,null,09:30,PPI Core Output (YoY) n.s.a (Feb),0,,"{""value"": 2.2, ""uom"": ""%""}",null,fxs
8679,"{""value"": -1.1, ""uom"": ""%""}","{""value"": -0.9, ""uom"": ""%""}",UK,2018-03-20,null,09:30,Producer Price Index - Input (MoM) n.s.a (Feb),0,,"{""value"": 0.4, ""uom"": ""%""}",null,fxs
8680,"{""value"": 3.4, ""uom"": ""%""}","{""value"": 3.8, ""uom"": ""%""}",UK,2018-03-20,null,09:30,Producer Price Index - Input (YoY) n.s.a (Feb),0,,"{""value"": 4.5, ""uom"": ""%""}",null,fxs
8681,"{""value"": 2.6, ""uom"": ""%""}","{""value"": 2.7, ""uom"": ""%""}",UK,2018-03-20,null,09:30,Producer Price Index - Output (YoY) n.s.a (Feb),0,,"{""value"": 2.8, ""uom"": ""%""}",null,fxs
8682,"{""value"": 0.2, ""uom"": ""%""}","{""value"": 0.2, ""uom"": ""%""}",UK,2018-03-20,null,09:30,PPI Core Output (MoM) n.s.a (Feb),0,,"{""value"": 0.3, ""uom"": ""%""}",null,fxs
8683,"{""value"": 0.0, ""uom"": ""%""}","{""value"": 0.1, ""uom"": ""%""}",UK,2018-03-20,null,09:30,Producer Price Index - Output (MoM) n.s.a (Feb),0,,"{""value"": 0.1, ""uom"": ""%""}",null,fxs
8684,"{""value"": 0.8, ""uom"": ""%""}","{""value"": 0.8, ""uom"": ""%""}",UK,2018-03-20,null,09:30,Retail Price Index (MoM) (Feb),0,,"{""value"": -0.8, ""uom"": ""%""}",null,fxs
8685,"{""value"": 3.6, ""uom"": ""%""}","{""value"": 3.7, ""uom"": ""%""}",UK,2018-03-20,null,09:30,Retail Price Index (YoY) (Feb),0,,"{""value"": 4.0, ""uom"": ""%""}",null,fxs
8686,"{""value"": -0.1, ""uom"": ""%""}","{""value"": 0.1, ""uom"": ""%""}",DE,2018-03-20,null,07:00,Producer Price Index (MoM) (Feb),0,,"{""value"": 0.5, ""uom"": ""%""}",null,fxs
8687,"{""value"": 1.8, ""uom"": ""%""}","{""value"": 2.0, ""uom"": ""%""}",DE,2018-03-20,null,07:00,Producer Price Index (YoY) (Feb),0,,"{""value"": 2.1, ""uom"": ""%""}",null,fxs
8688,"{""value"": 15.0, ""uom"": "",439M""}",null,CH,2018-03-20,null,07:00,Imports (MoM) (Feb),0,,"{""value"": 16.0, ""uom"": "",855M""}",null,fxs
8689,"{""value"": 18.0, ""uom"": "",577M""}",null,CH,2018-03-20,null,07:00,Exports (MoM) (Feb),0,,"{""value"": 18.0, ""uom"": "",930M""}",null,fxs
8690,"{""value"": 3.0, ""uom"": "",138M""}","{""value"": 1.0, ""uom"": "",870M""}",CH,2018-03-20,null,07:00,Trade Balance (Feb),0,,"{""value"": 2.0, ""uom"": "",075M""}",null,fxs
8691,null,null,CH,2018-03-20,null,06:45,SECO Economic Forecasts,0,,null,null,fxs
8692,"{""value"": 105.6, ""uom"": null}","{""value"": 106.2, ""uom"": null}",JP,2018-03-20,null,05:00,Leading Economic Index (Jan),0,,"{""value"": 106.8, ""uom"": null}",null,fxs
8693,"{""value"": 114.9, ""uom"": null}","{""value"": 119.1, ""uom"": null}",JP,2018-03-20,null,05:00,Coincident Index (Jan),0,,"{""value"": 119.7, ""uom"": null}",null,fxs
8694,null,null,AU,2018-03-20,null,04:15,RBA Assistant Governor Bullock Speech,0,,null,null,fxs
8695,null,null,AU,2018-03-20,null,00:30,RBA Meeting's Minutes,0,,null,null,fxs
8696,"{""value"": 1.0, ""uom"": ""%""}","{""value"": 0.0, ""uom"": ""%""}",AU,2018-03-20,null,00:30,House Price Index (QoQ) (Q4),0,,"{""value"": -0.2, ""uom"": ""%""}",null,fxs
8697,"{""value"": 5.0, ""uom"": ""%""}","{""value"": 3.9, ""uom"": ""%""}",AU,2018-03-20,null,00:30,House Price Index (YoY) (Q4),0,,"{""value"": 8.3, ""uom"": ""%""}",null,fxs
8698,null,null,EA,2018-03-20,null,24h,G20 Meeting,0,,null,null,fxs
8699,"{""value"": 4.0, ""uom"": ""%""}","{""value"": 1.9, ""uom"": ""%""}",IT,2018-03-19,"{""value"": 1.7, ""uom"": ""%""}",11:00 AM,Industrial Production YoY,1,JAN,"{""value"": 5.4, ""uom"": ""%""}","{""value"": 4.9, ""uom"": ""Previousrevisedfrom""}",te
8700,null,"{""value"": 22500000000.0, ""uom"": null}",EA,2018-03-19,null,,Trade balance,1,,"{""value"": 23800000000.0, ""uom"": null}",null,cio
8701,"{""value"": 1.8, ""uom"": ""%""}","{""value"": 1.9, ""uom"": ""%""}",JP,2018-03-19,null,01:50 AM,Exports YoY,0,FEB,"{""value"": 12.3, ""uom"": ""%""}","{""value"": 12.2, ""uom"": ""Previousrevisedfrom""}",te
8702,"{""value"": 16.5, ""uom"": ""%""}","{""value"": 17.1, ""uom"": ""%""}",JP,2018-03-19,null,01:50 AM,Imports YoY,0,FEB,"{""value"": 7.9, ""uom"": ""%""}",null,te
8703,"{""value"": -1.9, ""uom"": ""%""}","{""value"": -0.5, ""uom"": ""%""}",IT,2018-03-19,"{""value"": -0.3, ""uom"": ""%""}",11:00 AM,Industrial Production MoM,0,JAN,"{""value"": 2.1, ""uom"": ""%""}","{""value"": 1.6, ""uom"": ""Previousrevisedfrom""}",te
8704,"{""value"": 3300000000.0, ""uom"": ""\u20ac""}","{""value"": 22600000000.0, ""uom"": ""\u20ac""}",EA,2018-03-19,"{""value"": -3200000000.0, ""uom"": ""\u20ac""}",12:00 PM,Balance of Trade,0,JAN,"{""value"": 25400000000.0, ""uom"": ""\u20ac""}",null,te
8705,"{""value"": -87000000.0, ""uom"": ""\u20ac""}","{""value"": 4870000000.0, ""uom"": ""\u20ac""}",IT,2018-03-19,"{""value"": -400000000.0, ""uom"": ""\u20ac""}",12:00 PM,Balance of Trade,0,JAN,"{""value"": 5249000000.0, ""uom"": ""\u20ac""}","{""value"": 5253000000.0, ""uom"": ""Previousrevisedfrom\u20ac""}",te
8706,null,null,DE,2018-03-19,null,01:00 PM,Bundesbank Monthly Report,0,,null,null,te
8707,null,null,US,2018-03-19,null,03:00 PM,Fed Bostic Speech,0,,null,null,te
8708,"{""value"": -0.623, ""uom"": ""%""}",null,FR,2018-03-19,null,04:00 PM,3-Month BTF Auction,0,MAR/19,"{""value"": -0.636, ""uom"": ""%""}",null,te
8709,"{""value"": -0.578, ""uom"": ""%""}",null,FR,2018-03-19,null,04:00 PM,12-Month BTF Auction,0,MAR/19,"{""value"": -0.584, ""uom"": ""%""}",null,te
8710,"{""value"": -0.621, ""uom"": ""%""}",null,FR,2018-03-19,null,04:00 PM,6-Month BTF Auction,0,MAR/19,"{""value"": -0.647, ""uom"": ""%""}",null,te
8711,null,null,EA,2018-03-19,null,08:00 PM,ECB Mersch Speech,0,,null,null,te
8712,"{""value"": 1.95, ""uom"": ""%""}",null,US,2018-03-19,null,15:30,6-Month Bill Auction,0,,"{""value"": 1.85, ""uom"": ""%""}",null,fxs
8713,"{""value"": 1.78, ""uom"": ""%""}",null,US,2018-03-19,null,15:30,3-Month Bill Auction,0,,"{""value"": 1.67, ""uom"": ""%""}",null,fxs
8714,null,null,US,2018-03-19,null,13:40,FOMC Member Bostic speech,0,,null,null,fxs
8715,null,null,UK,2018-03-19,null,11:45,Brexit press conference,0,,null,null,fxs
8716,null,null,DE,2018-03-19,null,11:00,German Buba Monthly Report,0,,null,null,fxs
8717,"{""value"": 3.7, ""uom"": ""%""}","{""value"": 1.3, ""uom"": ""%""}",EA,2018-03-19,null,10:00,Construction Output w.d.a (YoY) (Jan),0,,"{""value"": 1.4, ""uom"": ""%""}",null,fxs
8718,"{""value"": -2.2, ""uom"": ""%""}","{""value"": 0.6, ""uom"": ""%""}",EA,2018-03-19,null,10:00,Construction Output s.a (MoM) (Jan),0,,"{""value"": 0.7, ""uom"": ""%""}",null,fxs
8719,"{""value"": 439000000.0, ""uom"": ""\u20ac""}",null,IT,2018-03-19,null,10:00,Trade Balance EU (Jan),0,,"{""value"": -978000000.0, ""uom"": ""\u20ac""}",null,fxs
8720,"{""value"": -87000000.0, ""uom"": ""\u20ac""}","{""value"": 4870000000.0, ""uom"": ""\u20ac""}",IT,2018-03-19,null,10:00,Global Trade Balance (Jan),0,,"{""value"": 5249000000.0, ""uom"": ""\u20ac""}",null,fxs
8721,"{""value"": 19900000000.0, ""uom"": ""\u20ac""}","{""value"": 22600000000.0, ""uom"": ""\u20ac""}",EA,2018-03-19,null,10:00,Trade Balance s.a. (Jan),0,,"{""value"": 23200000000.0, ""uom"": ""\u20ac""}",null,fxs
8722,"{""value"": 3300000000.0, ""uom"": ""\u20ac""}","{""value"": -6500000000.0, ""uom"": ""\u20ac""}",EA,2018-03-19,null,10:00,Trade Balance n.s.a. (Jan),0,,"{""value"": 25400000000.0, ""uom"": ""\u20ac""}",null,fxs
8723,"{""value"": -1.9, ""uom"": ""%""}","{""value"": -0.7, ""uom"": ""%""}",IT,2018-03-19,null,09:00,Industrial Output s.a. (MoM) (Jan),0,,"{""value"": 2.1, ""uom"": ""%""}",null,fxs
8724,"{""value"": 4.0, ""uom"": ""%""}","{""value"": 1.9, ""uom"": ""%""}",IT,2018-03-19,null,09:00,Industrial Output w.d.a (YoY) (Jan),0,,"{""value"": 5.4, ""uom"": ""%""}",null,fxs
8725,"{""value"": 5.2, ""uom"": ""%""}",null,CN,2018-03-19,null,01:30,House Price Index (Feb),0,,"{""value"": 5.0, ""uom"": ""%""}",null,fxs
8726,"{""value"": 2.1, ""uom"": ""%""}",null,UK,2018-03-19,null,00:01,Rightmove House Price Index (YoY) (Mar),0,,"{""value"": 1.5, ""uom"": ""%""}",null,fxs
8727,"{""value"": 1.5, ""uom"": ""%""}",null,UK,2018-03-19,null,00:01,Rightmove House Price Index (MoM) (Mar),0,,"{""value"": 0.8, ""uom"": ""%""}",null,fxs
8728,null,null,EA,2018-03-19,null,24h,G20 Meeting,0,,null,null,fxs
8729,"{""value"": 0.0, ""uom"": ""%""}","{""value"": 0.1, ""uom"": ""%""}",IT,2018-03-16,null,09:00,Consumer Price Index (MoM) (Feb),1,,"{""value"": 0.1, ""uom"": ""%""}",null,fxs
8730,"{""value"": 1.1, ""uom"": ""%""}","{""value"": 1.2, ""uom"": ""%""}",EA,2018-03-16,null,10:00,Consumer Price Index (YoY) (Feb),1,,"{""value"": 1.2, ""uom"": ""%""}",null,fxs
8731,null,"{""value"": 1280000.0, ""uom"": null}",US,2018-03-16,null,,Housing starts MoM Feb,1,,"{""value"": 1326000.0, ""uom"": null}",null,cio
8732,"{""value"": -5.7, ""uom"": ""%""}",null,US,2018-03-16,"{""value"": -4.0, ""uom"": ""%""}",02:30 PM,Building Permits MoM,1,FEB,"{""value"": 5.9, ""uom"": ""%""}",null,te
8733,"{""value"": 1.1, ""uom"": ""%""}","{""value"": 0.3, ""uom"": ""%""}",US,2018-03-16,"{""value"": 0.2, ""uom"": ""%""}",03:15 PM,Industrial Production MoM,1,FEB,"{""value"": -0.3, ""uom"": ""%""}","{""value"": -0.1, ""uom"": ""Previousrevisedfrom""}",te
8734,"{""value"": 78.1, ""uom"": ""%""}","{""value"": 77.7, ""uom"": ""%""}",US,2018-03-16,"{""value"": 77.6, ""uom"": ""%""}",03:15 PM,Capacity Utilization,1,FEB,"{""value"": 77.4, ""uom"": ""%""}","{""value"": 77.5, ""uom"": ""Previousrevisedfrom""}",te
8735,"{""value"": 6312000.0, ""uom"": null}","{""value"": 5890000.0, ""uom"": null}",US,2018-03-16,"{""value"": 5800000.0, ""uom"": null}",04:00 PM,JOLTs Job Openings,1,JAN,"{""value"": 5667000.0, ""uom"": null}","{""value"": 5811000.0, ""uom"": ""Previousrevisedfrom""}",te
8736,"{""value"": 102.0, ""uom"": null}","{""value"": 99.3, ""uom"": null}",US,2018-03-16,null,14:00,Michigan Consumer Sentiment Index (Mar),1,,"{""value"": 99.7, ""uom"": null}",null,fxs
8737,"{""value"": -5.9, ""uom"": ""%""}","{""value"": 4.4, ""uom"": ""%""}",SG,2018-03-16,null,02:30 AM,Non-Oil Exports YoY,0,FEB,"{""value"": 12.9, ""uom"": ""%""}","{""value"": 13.0, ""uom"": ""Previousrevisedfrom""}",te
8738,"{""value"": -2.6, ""uom"": ""%""}","{""value"": -0.3, ""uom"": ""%""}",SG,2018-03-16,null,02:30 AM,Non-Oil Exports MoM,0,FEB,"{""value"": -0.4, ""uom"": ""%""}","{""value"": -0.3, ""uom"": ""Previousrevisedfrom""}",te
8739,"{""value"": 5950000000.0, ""uom"": ""$""}",null,SG,2018-03-16,"{""value"": 4400000000.0, ""uom"": ""$""}",03:00 AM,Balance of Trade,0,FEB,"{""value"": 5140000000.0, ""uom"": ""$""}",null,te
8740,"{""value"": -7.3, ""uom"": ""%""}","{""value"": -0.1, ""uom"": ""%""}",JP,2018-03-16,null,06:30 AM,Capacity Utilization MoM,0,JAN,"{""value"": 2.8, ""uom"": ""%""}",null,te
8741,"{""value"": 2.5, ""uom"": ""%""}","{""value"": 2.7, ""uom"": ""%""}",JP,2018-03-16,"{""value"": 2.7, ""uom"": ""%""}",06:30 AM,Industrial Production YoY Final,0,JAN,"{""value"": 4.4, ""uom"": ""%""}",null,te
8742,"{""value"": -6.8, ""uom"": ""%""}","{""value"": -6.6, ""uom"": ""%""}",JP,2018-03-16,"{""value"": -6.6, ""uom"": ""%""}",06:30 AM,Industrial Production MoM Final,0,JAN,"{""value"": 2.9, ""uom"": ""%""}",null,te
8743,"{""value"": 1.2, ""uom"": ""%""}","{""value"": 1.5, ""uom"": ""%""}",DE,2018-03-16,"{""value"": 1.8, ""uom"": ""%""}",09:00 AM,Wholesale Prices YoY,0,FEB,"{""value"": 2.0, ""uom"": ""%""}",null,te
8744,"{""value"": -0.3, ""uom"": ""%""}","{""value"": 0.2, ""uom"": ""%""}",DE,2018-03-16,"{""value"": 0.3, ""uom"": ""%""}",09:00 AM,Wholesale Prices MoM,0,FEB,"{""value"": 0.9, ""uom"": ""%""}",null,te
8745,"{""value"": 1.9, ""uom"": ""%""}",null,AT,2018-03-16,"{""value"": 2.0, ""uom"": ""%""}",10:00 AM,Harmonised Inflation Rate YoY,0,FEB,"{""value"": 1.9, ""uom"": ""%""}",null,te
8746,"{""value"": 0.3, ""uom"": ""%""}",null,AT,2018-03-16,"{""value"": -0.3, ""uom"": ""%""}",10:00 AM,Harmonised Inflation Rate MoM,0,FEB,"{""value"": -1.0, ""uom"": ""%""}",null,te
8747,"{""value"": 1.8, ""uom"": ""%""}",null,AT,2018-03-16,"{""value"": 1.9, ""uom"": ""%""}",10:00 AM,Inflation Rate YoY,0,FEB,"{""value"": 1.8, ""uom"": ""%""}",null,te
8748,"{""value"": 0.3, ""uom"": ""%""}",null,AT,2018-03-16,"{""value"": -0.3, ""uom"": ""%""}",10:00 AM,Inflation Rate MoM,0,FEB,"{""value"": -0.7, ""uom"": ""%""}",null,te
8749,"{""value"": 0.5, ""uom"": ""%""}","{""value"": 0.7, ""uom"": ""%""}",IT,2018-03-16,"{""value"": 0.7, ""uom"": ""%""}",11:00 AM,Harmonised Inflation Rate YoY Final,0,FEB,"{""value"": 1.2, ""uom"": ""%""}",null,te
8750,"{""value"": -0.5, ""uom"": ""%""}","{""value"": -0.3, ""uom"": ""%""}",IT,2018-03-16,"{""value"": -0.3, ""uom"": ""%""}",11:00 AM,Harmonised Inflation Rate MoM Final,0,FEB,"{""value"": -1.5, ""uom"": ""%""}",null,te
8751,"{""value"": 0.5, ""uom"": ""%""}","{""value"": 0.6, ""uom"": ""%""}",IT,2018-03-16,"{""value"": 0.6, ""uom"": ""%""}",11:00 AM,Inflation Rate YoY Final,0,FEB,"{""value"": 0.9, ""uom"": ""%""}",null,te
8752,"{""value"": 0.0, ""uom"": ""%""}","{""value"": 0.1, ""uom"": ""%""}",IT,2018-03-16,"{""value"": 0.1, ""uom"": ""%""}",11:00 AM,Inflation Rate MoM Final,0,FEB,"{""value"": 0.3, ""uom"": ""%""}",null,te
8753,"{""value"": 1.0, ""uom"": ""%""}","{""value"": 1.0, ""uom"": ""%""}",EA,2018-03-16,"{""value"": 1.0, ""uom"": ""%""}",12:00 PM,Core Inflation Rate YoY Final,0,FEB,"{""value"": 1.0, ""uom"": ""%""}",null,te
8754,"{""value"": 1.1, ""uom"": ""%""}","{""value"": 1.2, ""uom"": ""%""}",EA,2018-03-16,"{""value"": 1.2, ""uom"": ""%""}",12:00 PM,Inflation Rate YoY Final,0,FEB,"{""value"": 1.3, ""uom"": ""%""}",null,te
8755,"{""value"": 0.2, ""uom"": ""%""}","{""value"": 0.2, ""uom"": ""%""}",EA,2018-03-16,"{""value"": 0.2, ""uom"": ""%""}",12:00 PM,Inflation Rate MoM,0,FEB,"{""value"": -0.9, ""uom"": ""%""}",null,te
8756,"{""value"": 1.5, ""uom"": ""%""}","{""value"": 1.8, ""uom"": ""%""}",EA,2018-03-16,"{""value"": 1.7, ""uom"": ""%""}",12:00 PM,Labour Cost Index YoY,0,Q4,"{""value"": 1.6, ""uom"": ""%""}",null,te
8757,"{""value"": 1.7, ""uom"": ""%""}","{""value"": 1.8, ""uom"": ""%""}",EA,2018-03-16,"{""value"": 1.7, ""uom"": ""%""}",12:00 PM,Wage Growth YoY,0,Q4,"{""value"": 1.6, ""uom"": ""%""}",null,te
8758,"{""value"": 5680000000.0, ""uom"": ""C$""}",null,CA,2018-03-16,"{""value"": 9000000000.0, ""uom"": ""C$""}",02:30 PM,Foreign Securities Purchases,0,JAN,"{""value"": -1540000000.0, ""uom"": ""C$""}","{""value"": -1970000000.0, ""uom"": ""PreviousrevisedfromC$""}",te
8759,"{""value"": -1.0, ""uom"": ""%""}","{""value"": -0.8, ""uom"": ""%""}",CA,2018-03-16,null,02:30 PM,Manufacturing Sales MoM,0,JAN,"{""value"": -0.1, ""uom"": ""%""}","{""value"": -0.3, ""uom"": ""Previousrevisedfrom""}",te
8760,"{""value"": -7.0, ""uom"": ""%""}","{""value"": 6.0, ""uom"": ""%""}",US,2018-03-16,"{""value"": -2.8, ""uom"": ""%""}",02:30 PM,Housing Starts MoM,0,FEB,"{""value"": 10.1, ""uom"": ""%""}","{""value"": 9.7, ""uom"": ""Previousrevisedfrom""}",te
8761,"{""value"": 2.5, ""uom"": ""%""}",null,US,2018-03-16,"{""value"": 2.0, ""uom"": ""%""}",03:15 PM,Manufacturing Production YoY,0,FEB,"{""value"": 1.6, ""uom"": ""%""}","{""value"": 1.8, ""uom"": ""Previousrevisedfrom""}",te
8762,"{""value"": 2.9, ""uom"": ""%""}",null,US,2018-03-16,null,04:00 PM,Michigan Inflation Expectations Prel,0,MAR,"{""value"": 2.7, ""uom"": ""%""}",null,te
8763,"{""value"": 2.5, ""uom"": ""%""}",null,US,2018-03-16,null,04:00 PM,Michigan 5 Year Inflation Expectations Prel,0,MAR,"{""value"": 2.5, ""uom"": ""%""}",null,te
8764,"{""value"": 88.6, ""uom"": null}","{""value"": 89.8, ""uom"": null}",US,2018-03-16,null,04:00 PM,Michigan Consumer Expectations Prel,0,MAR,"{""value"": 90.0, ""uom"": null}",null,te
8765,"{""value"": 122.8, ""uom"": null}","{""value"": 114.5, ""uom"": null}",US,2018-03-16,null,04:00 PM,Michigan Current Conditions Prel,0,MAR,"{""value"": 114.9, ""uom"": null}",null,te
8766,"{""value"": 668500.0, ""uom"": null}",null,US,2018-03-16,null,19:30,CFTC Oil NC net positions,0,,"{""value"": 686500.0, ""uom"": null}",null,fxs
8767,"{""value"": 8000.0, ""uom"": ""\u00a3""}",null,UK,2018-03-16,null,19:30,CFTC GBP NC net positions,0,,"{""value"": 5300.0, ""uom"": ""\u00a3""}",null,fxs
8768,"{""value"": 167900.0, ""uom"": ""$""}",null,US,2018-03-16,null,19:30,CFTC Gold NC net positions,0,,"{""value"": 183800.0, ""uom"": ""$""}",null,fxs
8769,"{""value"": -79500.0, ""uom"": ""\u00a5""}",null,JP,2018-03-16,null,19:30,CFTC JPY NC net positions,0,,"{""value"": -86800.0, ""uom"": ""\u00a5""}",null,fxs
8770,"{""value"": 122100.0, ""uom"": ""$""}",null,US,2018-03-16,null,19:30,CFTC USD NC net positions,0,,"{""value"": 128900.0, ""uom"": ""$""}",null,fxs
8771,"{""value"": 146400.0, ""uom"": ""\u20ac""}",null,EA,2018-03-16,null,19:30,CFTC EUR NC net positions,0,,"{""value"": 133000.0, ""uom"": ""\u20ac""}",null,fxs
8772,"{""value"": -800.0, ""uom"": ""$""}",null,AU,2018-03-16,null,19:30,CFTC AUD NC net positions,0,,"{""value"": 3100.0, ""uom"": ""$""}",null,fxs
8773,"{""value"": 800.0, ""uom"": null}",null,US,2018-03-16,null,17:00,Baker Hughes US Oil Rig Count,0,,"{""value"": 796.0, ""uom"": null}",null,fxs
8774,"{""value"": 6312000.0, ""uom"": null}","{""value"": 5890000.0, ""uom"": null}",US,2018-03-16,null,14:00,JOLTS Job Openings (Jan),0,,"{""value"": 5667000.0, ""uom"": null}",null,fxs
8775,"{""value"": 1.1, ""uom"": ""%""}","{""value"": 0.3, ""uom"": ""%""}",US,2018-03-16,null,13:15,Industrial Production (MoM) (Feb),0,,"{""value"": -0.3, ""uom"": ""%""}",null,fxs
8776,"{""value"": 78.1, ""uom"": ""%""}","{""value"": 77.7, ""uom"": ""%""}",US,2018-03-16,null,13:15,Capacity Utilization (Feb),0,,"{""value"": 77.4, ""uom"": ""%""}",null,fxs
8777,"{""value"": 13250000000.0, ""uom"": ""$""}",null,CA,2018-03-16,null,12:30,Canadian portfolio investment in foreign securities (Jan),0,,"{""value"": 21990000000.0, ""uom"": ""$""}",null,fxs
8778,"{""value"": 5680000000.0, ""uom"": ""$""}","{""value"": 9110000000.0, ""uom"": ""$""}",CA,2018-03-16,null,12:30,Foreign portfolio investment in Canadian securities (Jan),0,,"{""value"": -1540000000.0, ""uom"": ""$""}",null,fxs
8779,"{""value"": -1.0, ""uom"": ""%""}","{""value"": -0.8, ""uom"": ""%""}",CA,2018-03-16,null,12:30,Manufacturing Shipments (MoM) (Jan),0,,"{""value"": -0.1, ""uom"": ""%""}",null,fxs
8780,"{""value"": -7.0, ""uom"": ""%""}",null,US,2018-03-16,null,12:30,Housing Starts Change (Feb),0,,"{""value"": 10.1, ""uom"": ""%""}",null,fxs
8781,"{""value"": 1298000.0, ""uom"": null}","{""value"": 1320000.0, ""uom"": null}",US,2018-03-16,null,12:30,Building Permits (MoM) (Feb),0,,"{""value"": 1377000.0, ""uom"": null}",null,fxs
8782,"{""value"": 1236000.0, ""uom"": null}","{""value"": 1290000.0, ""uom"": null}",US,2018-03-16,null,12:30,Housing Starts (MoM) (Feb),0,,"{""value"": 1329000.0, ""uom"": null}",null,fxs
8783,"{""value"": -5.7, ""uom"": ""%""}","{""value"": -12.3, ""uom"": ""%""}",US,2018-03-16,null,12:30,Building Permits Change (Feb),0,,"{""value"": 5.9, ""uom"": ""%""}",null,fxs
8784,"{""value"": 1.0, ""uom"": ""%""}","{""value"": 1.0, ""uom"": ""%""}",EA,2018-03-16,null,10:00,Consumer Price Index - Core (YoY) (Feb),0,,"{""value"": 1.0, ""uom"": ""%""}",null,fxs
8785,"{""value"": 0.4, ""uom"": ""%""}","{""value"": 0.4, ""uom"": ""%""}",EA,2018-03-16,null,10:00,Consumer Price Index - Core (MoM) (Feb),0,,"{""value"": -1.7, ""uom"": ""%""}",null,fxs
8786,"{""value"": 0.2, ""uom"": ""%""}","{""value"": 0.2, ""uom"": ""%""}",EA,2018-03-16,null,10:00,Consumer Price Index (MoM) (Feb),0,,"{""value"": -0.9, ""uom"": ""%""}",null,fxs
8787,"{""value"": 1.5, ""uom"": ""%""}","{""value"": 1.8, ""uom"": ""%""}",EA,2018-03-16,null,10:00,Labour cost (Q4),0,,"{""value"": 1.6, ""uom"": ""%""}",null,fxs
8788,"{""value"": 0.5, ""uom"": ""%""}","{""value"": 0.7, ""uom"": ""%""}",IT,2018-03-16,null,09:00,Consumer Price Index (EU Norm) (YoY) (Feb),0,,"{""value"": 0.5, ""uom"": ""%""}",null,fxs
8789,"{""value"": 0.5, ""uom"": ""%""}","{""value"": 0.6, ""uom"": ""%""}",IT,2018-03-16,null,09:00,Consumer Price Index (YoY) (Feb),0,,"{""value"": 0.5, ""uom"": ""%""}",null,fxs
8790,"{""value"": -0.5, ""uom"": ""%""}","{""value"": -0.3, ""uom"": ""%""}",IT,2018-03-16,null,09:00,Consumer Price Index (EU Norm) (MoM) (Feb),0,,"{""value"": -0.5, ""uom"": ""%""}",null,fxs
8791,"{""value"": 0.3, ""uom"": ""%""}",null,AT,2018-03-16,null,08:00,HICP (MoM) (Feb),0,,"{""value"": -1.0, ""uom"": ""%""}",null,fxs
8792,"{""value"": 1.9, ""uom"": ""%""}",null,AT,2018-03-16,null,08:00,HICP (YoY) (Feb),0,,"{""value"": 1.9, ""uom"": ""%""}",null,fxs
8793,"{""value"": -0.3, ""uom"": ""%""}","{""value"": 0.2, ""uom"": ""%""}",DE,2018-03-16,null,07:00,Wholesale Price Index (MoM) (Feb),0,,"{""value"": 0.9, ""uom"": ""%""}",null,fxs
8794,"{""value"": 1.2, ""uom"": ""%""}","{""value"": 1.5, ""uom"": ""%""}",DE,2018-03-16,null,07:00,Wholesale Price Index (YoY) (Feb),0,,"{""value"": 2.0, ""uom"": ""%""}",null,fxs
8795,"{""value"": -7.3, ""uom"": ""%""}","{""value"": -0.1, ""uom"": ""%""}",JP,2018-03-16,null,04:30,Capacity Utilization (Jan),0,,"{""value"": 2.8, ""uom"": ""%""}",null,fxs
8796,"{""value"": -6.8, ""uom"": ""%""}","{""value"": -6.6, ""uom"": ""%""}",JP,2018-03-16,null,04:30,Industrial Production (MoM) (Jan),0,,"{""value"": -6.6, ""uom"": ""%""}",null,fxs
8797,"{""value"": 2.5, ""uom"": ""%""}",null,JP,2018-03-16,null,04:30,Industrial Production (YoY) (Jan),0,,"{""value"": 2.7, ""uom"": ""%""}",null,fxs
8798,"{""value"": 0.5, ""uom"": ""%""}",null,CN,2018-03-16,null,02:00,FDI - Foreign Direct Investment (YTD) (YoY) (Feb),0,,"{""value"": 0.3, ""uom"": ""%""}",null,fxs
8799,null,null,EA,2018-03-15,null,05:45 PM,ECB Lautenschläger Speech,1,,null,null,te
8800,"{""value"": 1.3, ""uom"": ""%""}","{""value"": 1.3, ""uom"": ""%""}",FR,2018-03-15,null,07:45,Consumer Price Index (EU norm) (YoY) (Feb),1,,"{""value"": 1.3, ""uom"": ""%""}",null,fxs
8801,"{""value"": 1879000.0, ""uom"": null}","{""value"": 1900000.0, ""uom"": null}",US,2018-03-15,"{""value"": 1908000.0, ""uom"": null}",02:30 PM,Continuing Jobless Claims,1,03/MAR,"{""value"": 1875000.0, ""uom"": null}","{""value"": 1870000.0, ""uom"": ""Previousrevisedfrom""}",te
8802,"{""value"": 226000.0, ""uom"": null}","{""value"": 226000.0, ""uom"": null}",US,2018-03-15,"{""value"": 238000.0, ""uom"": null}",02:30 PM,Initial Jobless Claims,1,10/MAR,"{""value"": 230000.0, ""uom"": null}","{""value"": 231000.0, ""uom"": ""Previousrevisedfrom""}",te
